Competence,TypeTag,Tag,AnnotationTime,FinalAnnotationTime,Game,User,SequenceOrder,Level,Group,Replay
prim_shapes,Global,4,,,Shadowspect,redbed,18,Bird Fez,VeraD,Bird Fez~1
scale_shapes,Global,2,,,Shadowspect,redbed,18,Bird Fez,VeraD,Bird Fez~1
snapshots,Global,4,,,Shadowspect,redbed,18,Bird Fez,VeraD,Bird Fez~1
cam_perspective,Global,2,,,Shadowspect,redbed,18,Bird Fez,VeraD,Bird Fez~1
action_seq,Global,2,,,Shadowspect,redbed,18,Bird Fez,VeraD,Bird Fez~1
rotation,Global,3,,,Shadowspect,redbed,18,Bird Fez,VeraD,Bird Fez~1
locate_shapes,Global,2,,,Shadowspect,redbed,18,Bird Fez,VeraD,Bird Fez~1
rotation,Global,0,,,Shadowspect,redbed,19,Pi Henge,VeraD,Pi Henge~1
cam_perspective,Global,3,,,Shadowspect,redbed,19,Pi Henge,VeraD,Pi Henge~1
snapshots,Global,4,,,Shadowspect,redbed,19,Pi Henge,VeraD,Pi Henge~1
prim_shapes,Global,4,,,Shadowspect,redbed,19,Pi Henge,VeraD,Pi Henge~1
scale_shapes,Global,4,,,Shadowspect,redbed,19,Pi Henge,VeraD,Pi Henge~1
locate_shapes,Global,3,,,Shadowspect,redbed,19,Pi Henge,VeraD,Pi Henge~1
action_seq,Global,3,,,Shadowspect,redbed,19,Pi Henge,VeraD,Pi Henge~1
rotation,Global,4,,,Shadowspect,redbed,20,45-Degree Rotations,VeraD,45-Degree Rotations~1
cam_perspective,Global,3,,,Shadowspect,redbed,20,45-Degree Rotations,VeraD,45-Degree Rotations~1
snapshots,Global,4,,,Shadowspect,redbed,20,45-Degree Rotations,VeraD,45-Degree Rotations~1
prim_shapes,Global,0,,,Shadowspect,redbed,20,45-Degree Rotations,VeraD,45-Degree Rotations~1
scale_shapes,Global,0,,,Shadowspect,redbed,20,45-Degree Rotations,VeraD,45-Degree Rotations~1
locate_shapes,Global,4,,,Shadowspect,redbed,20,45-Degree Rotations,VeraD,45-Degree Rotations~1
action_seq,Global,4,,,Shadowspect,redbed,20,45-Degree Rotations,VeraD,45-Degree Rotations~1
rotation,Global,2,,,Shadowspect,redbed,29,Pyramids are Strange,VeraD,Pyramids are Strange~2
cam_perspective,Global,2,,,Shadowspect,redbed,29,Pyramids are Strange,VeraD,Pyramids are Strange~2
snapshots,Global,1,,,Shadowspect,redbed,29,Pyramids are Strange,VeraD,Pyramids are Strange~2
prim_shapes,Global,0,,,Shadowspect,redbed,29,Pyramids are Strange,VeraD,Pyramids are Strange~2
scale_shapes,Global,4,,,Shadowspect,redbed,29,Pyramids are Strange,VeraD,Pyramids are Strange~2
locate_shapes,Global,4,,,Shadowspect,redbed,29,Pyramids are Strange,VeraD,Pyramids are Strange~2
action_seq,Global,2,,,Shadowspect,redbed,29,Pyramids are Strange,VeraD,Pyramids are Strange~2
rotation,Global,4,,,Shadowspect,Water_Bottle,15,Bird Fez,VeraD,Bird Fez~2
cam_perspective,Global,2,,,Shadowspect,Water_Bottle,15,Bird Fez,VeraD,Bird Fez~2
snapshots,Global,3,,,Shadowspect,Water_Bottle,15,Bird Fez,VeraD,Bird Fez~2
prim_shapes,Global,4,,,Shadowspect,Water_Bottle,15,Bird Fez,VeraD,Bird Fez~2
scale_shapes,Global,4,,,Shadowspect,Water_Bottle,15,Bird Fez,VeraD,Bird Fez~2
locate_shapes,Global,3,,,Shadowspect,Water_Bottle,15,Bird Fez,VeraD,Bird Fez~2
action_seq,Global,3,,,Shadowspect,Water_Bottle,15,Bird Fez,VeraD,Bird Fez~2
rotation,Global,0,,,Shadowspect,Water_Bottle,16,Pi Henge,VeraD,Pi Henge~1
cam_perspective,Global,3,,,Shadowspect,Water_Bottle,16,Pi Henge,VeraD,Pi Henge~1
snapshots,Global,4,,,Shadowspect,Water_Bottle,16,Pi Henge,VeraD,Pi Henge~1
prim_shapes,Global,2,,,Shadowspect,Water_Bottle,16,Pi Henge,VeraD,Pi Henge~1
scale_shapes,Global,2,,,Shadowspect,Water_Bottle,16,Pi Henge,VeraD,Pi Henge~1
locate_shapes,Global,4,,,Shadowspect,Water_Bottle,16,Pi Henge,VeraD,Pi Henge~1
action_seq,Global,2,,,Shadowspect,Water_Bottle,16,Pi Henge,VeraD,Pi Henge~1
rotation,Global,4,,,Shadowspect,Water_Bottle,17,45-Degree Rotations,VeraD,45-Degree Rotations~1
cam_perspective,Global,3,,,Shadowspect,Water_Bottle,17,45-Degree Rotations,VeraD,45-Degree Rotations~1
snapshots,Global,4,,,Shadowspect,Water_Bottle,17,45-Degree Rotations,VeraD,45-Degree Rotations~1
